,Data,ID,t_Atendimento_min,t_Projetos_min,t_Logado_min,Disp_%,Meta_Disp,Pontuação,Atraso
0,2022-02-01,a1R1L000007It5aUAC,420,60,408,54,Não Bateu,-14,Sim
1,2022-02-01,a1R1L000007IvtrUAC,450,0,266,39,Não Bateu,-20,Não
2,2022-02-01,a1R1L000007POQyUAO,450,0,0,33,-,0,-
3,2022-02-01,a1R1L000007PP7hUAG,480,0,408,40,Não Bateu,-19,Sim
4,2022-02-01,a1R1L000007YXRAUA4,480,0,445,46,Não Bateu,-19,Sim
5,2022-02-01,a1R1L000007YXRBUA4,0,480,53,33,-,0,-
6,2022-02-01,a1R1L000007YXREUA4,270,0,167,12,Não Bateu,-18,Sim
7,2022-02-01,a1R1L000008cZzKUAU,0,0,0,33,-,0,-
8,2022-02-01,a1R1L000008cZzMUAU,420,0,380,36,Não Bateu,-13,Sim
9,2022-02-01,a1R1L000008cZzNUAU,450,0,417,34,Não Bateu,-11,Sim
10,2022-02-01,a1R1L000008cZzOUAU,450,0,424,40,Não Bateu,-16,Sim
11,2022-02-01,a1R1L000008cZzUUAU,420,60,355,45,Não Bateu,-22,Sim
12,2022-02-01,a1R1L000008dS6CUAU,450,0,381,52,Não Bateu,-15,Sim
13,2022-02-01,a1R1L000008dS6SUAU,480,0,401,53,Não Bateu,-8,Sim
14,2022-02-01,a1R1L000008dS6VUAU,480,0,446,47,Não Bateu,-18,Não
15,2022-02-01,a1R1L000008dajzUAA,480,0,438,43,Não Bateu,-19,Sim
16,2022-02-01,a1R1L000008db60UAA,450,0,438,40,Não Bateu,-20,Sim
17,2022-02-01,a1R1L000008ddqrUAA,420,0,394,58,Não Bateu,-19,Não
18,2022-02-01,a1R1L000008ddr1UAA,0,480,0,33,-,0,-
19,2022-02-01,a1R1L000008deewUAA,420,60,388,43,Não Bateu,-9,Não
20,2022-02-01,a1R1L000008deexUAA,450,0,414,50,Não Bateu,-8,Sim
21,2022-02-01,a1R1L000008deeyUAA,0,0,0,33,-,0,-
22,2022-02-01,a1R1L000008defAUAQ,480,0,437,46,Não Bateu,-18,Sim
23,2022-02-01,a1R1L000008dfbNUAQ,90,390,88,0,Não Bateu,-3,Não
24,2022-02-01,a1R1L000008dfbPUAQ,420,0,395,78,Não Bateu,-14,Sim
25,2022-02-01,a1R1L000008dfbRUAQ,480,0,435,46,Não Bateu,-22,Sim
26,2022-02-01,a1R1L000008dfbSUAQ,450,0,420,45,Não Bateu,-21,Sim
27,2022-02-01,a1R1L000008dfjvUAA,420,0,381,32,Não Bateu,-20,Sim
28,2022-02-01,a1R1L000008dfmGUAQ,420,0,0,0,Não Bateu,-19,Não
29,2022-02-01,a1R1L000008dfmQUAQ,420,0,336,35,Não Bateu,-20,Não
30,2022-02-01,a1R1L000008dfmaUAA,420,0,242,24,Não Bateu,-20,Não
31,2022-02-01,a1R1L000008dfnOUAQ,420,0,281,23,Não Bateu,-2,Não
32,2022-02-01,a1R1L000008dfnTUAQ,360,60,279,14,Não Bateu,-20,Sim
33,2022-02-01,a1R1L000008dhv2UAA,450,0,428,38,Não Bateu,-18,Sim
34,2022-02-01,a1R1L000008dhvDUAQ,480,0,419,40,Não Bateu,-19,Sim
35,2022-02-01,a1R1L000008dhvFUAQ,480,0,272,42,Não Bateu,-19,Sim
36,2022-02-01,a1R1L000008eTN1UAM,480,0,437,45,Não Bateu,-16,Sim
37,2022-02-01,a1R1L000008eTNJUA2,120,0,0,33,-,0,-
38,2022-02-01,a1R1L000008eTNNUA2,480,0,0,33,-,0,-
39,2022-02-01,a1R1L00000F91tAUAR,240,0,226,25,Não Bateu,-17,Sim
40,2022-02-01,a1R1L00000F91tDUAR,480,0,420,43,Não Bateu,-18,Sim
41,2022-02-01,a1R1L00000F91tEUAR,420,0,362,30,Não Bateu,-20,Sim
42,2022-02-01,a1R1L00000F91tRUAR,420,60,340,33,-,0,-
43,2022-02-01,a1R1L00000F91tSUAR,450,0,390,33,Não Bateu,-17,Sim
44,2022-02-01,a1R1L00000F91thUAB,480,0,423,45,Não Bateu,-21,Sim
45,2022-02-01,a1R1L00000F91toUAB,450,0,400,34,Não Bateu,-21,Sim
46,2022-02-01,a1R3j000002b5iREAQ,120,0,0,33,-,0,-
47,2022-02-01,a1R3j000002b5igEAA,450,0,421,36,Não Bateu,-15,Sim
48,2022-02-01,a1R3j000002b5ijEAA,0,0,0,33,-,0,-
49,2022-02-01,a1R3j000002b5ikEAA,330,0,281,33,Não Bateu,-19,Não
50,2022-02-01,a1R3j000002b5inEAA,450,0,427,37,Não Bateu,-17,Sim
51,2022-02-01,a1R3j000002b5j5EAA,450,0,0,33,-,0,-
52,2022-02-01,a1R3j000002b5j8EAA,390,60,340,28,Não Bateu,-21,Sim
53,2022-02-01,a1R3j000002b5j9EAA,0,0,0,33,-,0,-
54,2022-02-01,a1R3j000002b5jCEAQ,450,0,408,35,Não Bateu,-19,Sim
55,2022-02-01,a1R3j000002b5jFEAQ,480,0,453,58,Não Bateu,-6,Sim
56,2022-02-01,a1R3j000002b5jIEAQ,330,120,308,35,Não Bateu,-19,Sim
57,2022-02-01,a1R3j000002b5jOEAQ,450,0,395,36,Não Bateu,-18,Sim
58,2022-02-01,a1R3j000002b5jZEAQ,450,0,415,37,Não Bateu,-20,Sim
59,2022-02-01,a1R3j000002b6K9EAI,360,90,345,46,Não Bateu,-18,Sim
60,2022-02-01,a1R3j000002b6KFEAY,180,0,0,33,-,0,-
61,2022-02-01,a1R3j000002b6KGEAY,120,0,0,33,-,0,-
62,2022-02-01,a1R3j000002b6KLEAY,300,0,0,0,Não Bateu,-18,Não
63,2022-02-01,a1R3j000002b6KSEAY,480,0,389,46,Não Bateu,-19,Sim
64,2022-02-01,a1R3j000002b72jEAA,450,0,412,44,Não Bateu,-17,Sim
65,2022-02-01,a1R3j000002b72pEAA,450,0,412,38,Não Bateu,-19,Sim
66,2022-02-01,a1R3j000002b72rEAA,450,0,396,37,Não Bateu,-20,Sim
67,2022-02-01,a1R3j000002b72wEAA,390,60,366,30,Não Bateu,-16,Sim
68,2022-02-01,a1R3j000002b738EAA,450,0,387,32,Não Bateu,-21,Sim
69,2022-02-01,a1R3j000002b73LEAQ,390,60,433,44,Não Bateu,-24,Sim
70,2022-02-01,a1R3j000002b73REAQ,450,0,439,53,Não Bateu,-5,Sim
71,2022-02-01,a1R3j000002b73TEAQ,450,0,0,33,-,0,-
72,2022-02-01,a1R3j000002b73WEAQ,450,0,423,38,Não Bateu,-8,Sim
73,2022-02-01,a1R3j000002b73ZEAQ,450,0,424,40,Não Bateu,-9,Sim
74,2022-02-01,a1R3j000002b73fEAA,450,0,368,25,Não Bateu,-16,Sim
75,2022-02-01,a1R3j000002b73kEAA,330,0,299,26,Não Bateu,-19,Não
76,2022-02-01,a1R3j000002b73rEAA,390,60,0,33,-,0,-
77,2022-02-01,a1R3j000002b73uEAA,330,120,332,29,Não Bateu,-18,Sim
78,2022-02-01,a1R3j000002b742EAA,450,0,408,38,Não Bateu,-23,Sim
79,2022-02-01,a1R3j000002b744EAA,330,0,301,45,Não Bateu,-7,Sim
80,2022-02-01,a1R3j000002b749EAA,450,0,396,37,Não Bateu,-20,Sim
81,2022-02-01,a1R3j000002b7DREAY,0,0,0,33,-,0,-
82,2022-02-01,a1R3j000002b8aSEAQ,450,0,392,34,Não Bateu,-9,Sim
